consumer_num,connected_load (watts),total_energy_billed (kWh)
9619,1000,335.83
865,150,7.33
7536,4000,367.08
10960,380,95
22259,4265,61.42
15993,300,99.92
3598,150,199.75
20060,300,117.67
23523,1800,125.42
8161,2220,0
17872,820,151.75
23661,2480,115.92
2857,600,257.58
6342,150,127.75
512,150,498.42
3356,150,190.17
10690,2810,150.25
11465,4000,95.33
23948,835,215
22838,1380,99.42
19698,600,566
26053,2915,20.25
23493,420,249.08
10092,2740,458
21161,1040,361.25
2845,600,275.58
5151,150,431.67
3454,1000,231.67
21395,360,0
19784,680,112.25
323,150,140.92
9958,820,74.92
1272,150,433.08
16181,14315,416.33
8831,420,22.17
13888,150,205.42
16219,150,250.42
9225,200,130.58
23345,3810,151.75
19911,2580,187.17
20239,300,205.17
25596,1350,101.33
12357,150,0
4736,150,74.92
9401,4000,213.83
396,150,77
20794,6795,23.92
23919,3960,47
12200,150,246.75
26223,4960,64.58
24304,2573,295.67
19161,240,124.92
2462,150,13.42
9728,280,30.25
25867,3555,30.58
18226,8500,387.75
16739,150,73.17
18877,5240,70.08
3660,150,82.17
698,1000,19.92
12183,180,311.5
21797,760,66.17
57,1000,248.08
19441,150,157.83
7577,860,20.17
18893,320,0
18937,140,88.42
10525,680,317.92
21299,1600,161.83
14362,5164,87.83
172,150,2.25
4377,1200,312.5
7985,350,191.67
11343,5000,165.67
22233,6396,94.42
21632,200,418.25
15945,400,85.42
13940,1570,297
10287,700,315.25
16805,1280,233.83
1844,1000,0
17394,1400,115.67
11152,150,14.92
19734,2790,532.83
16684,6000,38.25
26179,2235,28
13621,4115,147.92
11243,150,248.67
593,6628,305.17
2702,1500,566.08
21039,1000,61.33
6425,3265,116.67
18588,2230,720.75
10563,300,2.08
18745,2882,12.75
14488,1475,169.58
17662,2040,194.5
5887,600,364
21865,260,160.42
12875,450,144.58
4848,900,272.92
15580,150,191.08
12244,150,97.92
16050,150,4.83
25773,4390,75.08
14332,1000,252.58
17322,260,0.33
25782,2000,11
14838,2760,161.58
10036,2130,123.42
9430,720,115.08
10216,3320,201.08
4674,150,98.25
20497,380,114.5
3223,150,212.42
343,150,194.58
11410,4000,221.17
20971,150,164.08
13416,540,74.42
21764,3900,266.08
12993,150,270
7859,650,105.58
14229,200,106.08
19288,200,59.25
26016,7666,69.17
1789,150,577.08
23908,455,67.92
16254,660,178.17
23663,4855,317.67
2742,150,208.42
14445,150,96.58
4882,600,154.08
12780,150,203.08
17265,240,28
22615,620,152.58
14573,440,427.83
10418,140,349.08
21195,7940,424.25
13803,360,167.92
13395,240,1.58
23492,4520,315.92
20281,300,102.58
25160,1160,178.25
15545,10220,111.25
17605,1000,35.33
17590,220,455.58
6322,150,512.75
19208,240,0
14584,280,3.25
24314,700,6.83
24806,100,13.5
26370,8470,24.67
23673,340,271.42
6996,450,0
25058,6132,266.33
5847,30000,0
14474,200,186.17
2978,150,23.83
1179,3000,158.5
8593,1000,10.58
535,150,198.08
26002,1886,4.75
2033,150,230.25
17094,2340,352
21901,5320,32.08
19494,2000,0.17
4619,150,168.92
14765,160,1.33
19438,200,0
17870,1180,86.33
3992,480,4
11953,1800,169.25
19010,620,336.92
18584,1000,14.92
19310,1000,0
5857,3000,580.42
3148,1000,39.75
3778,900,24.17
15059,100,28.75
21484,300,105.92
12619,490,200.17
2099,150,0.17
4276,950,54.42
17695,140,144
3430,5000,139
13512,2640,13.5
20499,150,197.17
25426,1535,122.92
4725,150,0
18852,3120,280.42
13593,4000,364.75
974,1000,51.5
1680,150,147.25
16204,600,199.25
17307,4170,274.75
21085,140,105.75
9584,360,208.25
12085,450,95.67
12013,1000,376.25
2948,350,166.08
5811,150,144.92
21410,900,156.08
18691,4550,113.67
14143,420,213.67
19174,600,261.75
7993,650,160.67
11176,2000,17.33
4822,900,385.42
509,150,566.92
15784,900,163.33
8798,4500,610.33
25894,975,169.08
17389,1500,146
2635,150,4.75
4048,58773,12559.83
2943,600,264.33
14888,1500,196.17
4007,1000,0
21519,20500,36.67
24748,2900,189.42
14344,400,222.33
25633,1870,143.67
13629,7006,550.58
843,150,236.58
11531,150,201.33
15494,6773,254.42
3788,360,320.75
21921,660,187.58
1313,1000,107.83
17793,3746,195.5
14819,240,87
1216,150,389.83
1328,1000,61.75
8609,2000,414.08
9938,320,16.17
8811,900,172.08
996,1000,1.42
1442,150,40.42
10453,5573,274.17
3318,150,64.33
18379,240,167.25
5061,1500,170.42
19741,1250,554.5
5349,150,245.08
13668,540,177.92
9611,3440,409.08
1643,150,212.08
19588,340,135.58
20995,3163,586
2599,995,267
25862,1223,26.67
