consumer_num,connected_load (watts),total_energy_billed (kWh)
25103,1760,243.83
19637,1000,2.08
15549,280,208.33
3185,150,236.67
26064,1860,35.5
16743,440,108.5
6886,250,458.33
3056,1000,21.5
6400,1000,20.5
23589,1813,164
8030,650,23.83
20735,300,332.08
16761,2280,253.83
21869,460,214
15349,200,2.33
2776,150,133.17
11551,350,203.17
17391,3620,572.5
25083,3429,152.42
8722,600,194.08
11929,3000,132
21429,480,138.5
3524,3413,433.33
2881,1000,400.5
22382,160,2
6297,3981,29.67
11030,150,181
7214,1000,30.08
25422,9190,351.25
5458,250,137.42
2745,2580,27.08
12374,1000,146.42
15749,420,63.08
20548,200,53.08
17222,440,57.25
22325,200,66.67
22288,540,54.92
13042,960,114.58
14703,320,210.67
22590,846,14.33
20503,160,197.75
22668,1020,63.25
24682,980,46.5
16640,240,68.25
22066,4006,514.33
10008,1000,100.67
5184,4000,180.58
375,5000,593.75
12039,1000,55.08
3826,900,546.83
23676,1100,71.67
3668,150,301.08
10218,3956,190.67
1808,150,0
23362,2770,60
21595,2573,8.33
7379,1000,0.08
2993,300,38.33
23517,2875,142.75
25561,1930,42
3523,9075,601.67
3892,250,106
2465,1800,182.33
4560,8000,0
25070,3755,101.25
23039,800,30.58
16226,1680,565.08
21892,2300,74.92
11311,150,335
26175,1350,47.75
1899,150,102
13905,100,147.17
25771,4390,116.58
20252,1720,258.5
18389,860,23.08
18615,540,479
16203,150,174.67
23189,440,209.58
10887,600,159.67
1334,1000,11.67
23210,8146,284.08
6974,250,18.5
7550,600,239.25
8772,450,162.75
20699,300,136.92
9587,340,288.83
3739,150,167.08
20462,150,0
12248,150,235.42
25139,1170,41.92
25886,460,21.33
7605,950,447.83
6873,150,154.92
6597,150,45.25
19535,850,680
17719,280,283
17857,340,233.75
1974,150,55.08
6845,600,259.17
6589,3850,160.42
25818,3873,3.5
17679,525,170.5
8734,690,58.58
19942,1060,236.08
10304,100,127.92
18137,250,81.92
24583,8510,238.42
12429,150,187.67
24570,3240,316.42
7265,150,0
11340,150,40.92
7849,650,113.83
11274,150,34.08
22148,2743,139.58
26070,2003,106.42
25857,3848,142.25
15933,140,138.33
477,1000,41
21193,3738,46.17
124,1000,94.08
1159,150,204.42
5496,900,143
12736,150,122.67
1570,150,122.92
24397,420,303.92
25889,920,45.92
13223,2570,202.83
8479,150,131
24143,3845,328.42
15203,150,69.08
22195,100,0
15119,1000,112.5
7848,30000,0
5102,2180,371.58
25917,900,177.17
23718,240,22.83
8023,650,0
7779,450,212.92
16617,180,0
9564,4478,392
12126,1000,103.83
25984,7711,6.08
7959,650,139.75
5795,1820,3.08
22682,28240,8277.33
13590,4500,175.92
22606,1673,108.25
23588,500,175.92
7792,650,0
17893,4000,636.67
15017,380,110.83
26222,1350,8.75
20782,6425,263.42
19594,4695,326.25
13729,440,62.92
4764,3595,205.5
16589,240,4.67
2618,4870,298.83
26373,1100,0.75
21113,2733,101.25
25871,2455,153.42
25170,1310,127.08
19814,31409,1850
23929,1395,166.67
24296,2093,83.83
12583,9756,130.25
19499,360,179.42
15192,3167,200.08
11011,620,198
15880,150,178.83
15802,940,212.08
17361,4853,166.92
23939,1940,70.83
9216,320,116.92
13533,1000,260.83
3472,150,137.58
14599,200,0
4502,1000,0
8293,150,109.25
9811,340,15.08
11926,250,95.08
25630,860,0
21881,420,103.25
4812,3000,1
5686,14620,2291.92
6351,150,72.25
12868,1000,1.83
21944,100,150.25
12906,150,316.75
22610,3783,86.17
18623,940,3.17
16682,440,17.42
5440,400,128.92
15902,380,347.75
11512,150,323.75
9286,1000,69.83
23757,6846,12
5782,1000,1.58
8561,650,31.17
6530,150,311.25
23271,400,93
14871,4303,213.83
9060,5560,419.83
14105,2000,275.75
4824,600,42
5169,150,200.83
18320,21360,7588.33
20896,180,176.17
18325,5340,269.17
24615,920,64
3180,150,255.75
10064,500,0
21033,3280,136.42
22544,420,373.67
23449,200,0
9582,1000,96.25
23214,500,202.08
6939,250,79.75
2222,2250,6.5
15166,7075,658
9303,150,2.33
10653,1390,91.08
7239,150,259.33
13018,2000,46.75
16369,150,214.75
1821,7475,149.92
8314,3921,62.25
21747,380,238.17
19462,10000,1048
4423,1000,0
25176,2772,160.92
10713,2370,365.92
23079,1533,55
5222,150,287.83
22525,100,0
6077,1000,140.33
18838,150,151.75
8364,150,71.58
8553,650,171.83
9679,8780,614.58
14859,1140,290.83
24853,1100,0.25
23884,3730,138.08
19892,4390,581.58
13178,150,277.17
16549,180,113.75
6399,150,212.33
16072,150,194.17
8417,150,187.5
23217,2220,137
10737,240,144.08
15131,6210,607.25
1674,150,215.17
20206,200,160.25
2589,150,401.67
26129,240,1.17
16962,2440,269.92
6540,150,66.92
26358,2659,1.83
4298,1050,334.75
11806,600,510
25354,1713,19.08
24893,2110,85.92
15875,300,83.75
5126,150,91.83
12336,150,273.17
4957,680,182.67
15697,280,260.5
21407,400,104.67
24204,4313,351.33
25225,2570,197.08
6635,4800,782.92
19139,140,192.67
13451,2590,511
3236,1000,0
3670,6910,99
16506,89098,5568.5
6775,450,35.5
15702,420,67.83
17209,980,246.75
7719,360,309
19061,4820,97.5
21604,1680,217.17
6884,450,274.75
16283,100,169.17
1665,150,0
16606,240,81.42
10775,240,169.33
13776,200,2
14975,6050,446.33
23203,1800,137.17
19021,2000,1.33
15866,150,181.92
13671,2380,166.83
13177,150,0
24749,3994,127.42
22764,1660,74.08
14740,1380,129.33
2062,150,317.17
25653,1350,43.67
3875,250,111.58
7262,4000,216.75
24789,320,17.08
11510,1000,15.5
18621,150,372.67
6901,900,185
8035,250,305.58
11620,7026,231.33
21601,26022,4501.67
9563,300,133.25
18052,2990,229.83
14497,150,235.17
1957,1760,146.25
23750,1886,36.42
12149,150,7.33
1473,2693,202.75
15809,150,172.33
20835,3900,297.42
23188,1500,3316.83
25556,400,121.92
11756,600,246
4204,1000,211.75
14478,2170,196
12464,4500,296
25116,4713,125.5
12888,150,155.58
15641,440,206
19855,500,162.08
24905,1440,72.42
16316,280,0
22231,880,126.67
22547,2090,443.33
6945,560,145.08
26052,820,17.17
21988,600,204.92
4511,750,169.42
12899,480,212.42
12627,4500,352.75
5145,9206,818.25
14093,885,73.83
3557,150,0
21775,4953,226.08
25159,2891,226.75
21208,340,167.67
480,2000,33.17
24566,746,5.33
23470,1940,90.17
12328,150,3.92
24622,4110,153.92
10270,480,333.33
7417,12000,749.17
6402,9760,14.67
21163,29602,5161.75
26199,2313,33.5
8248,5000,1329.33
5872,1000,316.58
20023,300,172.25
6193,150,222.67
5499,950,300.33
3295,4910,218.08
16767,1720,306.33
23850,1120,97.58
26125,900,138.08
18311,1000,25.08
20253,4638,234.58
9124,1000,73.33
2812,600,579.33
16597,340,426.83
5549,600,96.75
19616,800,39.17
2058,2000,262.75
9480,700,0
19354,320,174.42
26034,1290,12.58
23288,1440,66.25
5376,150,155.75
2534,150,54.75
20463,280,84.92
11601,450,265.58
3570,150,195.42
26212,9100,167.5
18658,240,213.17
2144,150,53.58
3423,2915,363.17
13346,300,142
18249,180,184.5
13258,420,42.08
4203,1000,411.67
12192,4500,472.58
19962,240,97
12510,4000,451
991,150,362.92
18060,150,149
16141,200,0
8076,1500,178.92
16241,180,0
7395,1000,30.92
21948,20472,1577.75
14403,480,0
8210,600,188.67
9814,460,59.25
12802,450,298.42
6075,150,46.42
18101,160,71.33
7808,680,64.17
23270,540,0
25121,8087,1.08
16395,240,236.5
7683,300,164.08
12477,1200,131.25
1975,150,339.92
4436,4500,388.92
4922,12176,653.5
17607,11000,1568.75
14933,400,97.67
7704,650,184.42
23476,3520,79.33
17336,250,0.5
18674,5000,272.42
17202,480,2.83
6791,25000,811.33
11714,450,262.17
16661,960,220
5402,150,284.67
16780,2360,92.67
1500,150,0
21485,4033,186.08
22936,140,212.33
23728,11733,367.08
6424,4000,139.08
3480,1000,75.83
19858,1140,40
810,1000,900
16703,620,343.67
11595,450,318.42
6060,150,62.25
20302,300,227.58
5736,5000,0
15672,1690,160.5
16085,180,167.67
13569,1710,210.17
23450,2875,182.83
22036,6810,173.25
15600,150,35.83
22679,4390,115.83
2573,360,0
13489,260,280.33
22944,4670,241.75
21035,1386,6.42
25503,2930,105.75
4828,2611,239.75
13983,39989,4281.67
12514,150,181.08
17375,6910,223.25
24735,1440,114.58
4319,630,188.83
15895,180,96.25
20263,300,266.67
5418,150,328.33
10109,8000,144.67
11581,3500,277.75
14967,240,248.08
26350,11979,0
17183,300,181.5
22887,1500,35
17896,150,143.92
26278,680,15.25
6183,1000,30.25
19169,4890,429.75
3861,500,391.58
15005,100,289.67
12006,1100,12.25
21278,1040,254.33
14296,2675,176.75
25156,4140,151.42
7862,650,196.33
6990,250,146.08
10886,220,151.42
15790,150,247.33
4115,600,233.83
20540,370,307.33
18145,150,218.08
22406,6403,101.67
750,4000,92.5
259,150,61.42
18080,150,0
24236,2820,84.67
19636,280,0
11890,15265,785.25
25134,460,21.58
12269,450,297.42
6772,28418,1144
18649,150,164.5
1669,150,0
18152,100,165.17
14244,2130,472.5
17159,160,21.42
14776,160,0
18929,140,80.25
17670,540,168.58
11782,450,229.67
4699,2000,77.92
5111,9506,150
16199,240,194.58
20928,2520,99.92
13770,460,252.25
21154,4033,304.25
20975,810,233.42
24582,2595,212.17
17635,5000,362.83
14957,600,273.33
12229,2435,138
21730,4813,112.42
9079,4771,192.25
5725,8655,251
4696,150,88.08
17494,580,172.83
14473,340,114.5
9412,380,135.42
8338,150,91.42
3922,900,263.5
21066,1630,270.83
10330,2055,132.17
773,5000,248.92
13825,320,201.58
1113,1000,700.33
23795,260,45.75
1980,150,374
1314,1000,107.33
10836,240,93.33
11487,2000,19.25
7911,650,311.08
24820,1030,37.75
23026,500,136
4557,7000,864.75
16342,640,47.25
19692,3680,303.25
8376,150,370.33
10661,150,141
25186,6910,187.08
8116,650,293.17
3371,4753,248.5
2181,150,73.92
3757,150,122.83
18077,150,106.5
10949,480,37.83
9524,680,414.5
4774,150,63.25
4018,300,175.5
15671,220,204.08
19326,2200,99.83
14098,6986,205.92
21267,1000,0
17882,1866,78.92
25655,560,114.17
19597,150,198
8766,452,5.33
7953,650,273.25
7905,7441,89
16063,2370,55.42
5526,2790,181.92
15482,240,157.17
933,2000,46.92
8742,350,138.33
16991,920,310.83
7166,1900,288.17
12669,150,234
14766,2000,0
22095,2263,159.25
18616,3270,227.83
3141,150,170.75
25367,4410,237.42
24550,300,24.67
13482,720,199.67
6743,650,133.42
5480,250,12
25781,2000,247.67
22006,3490,592.75
13066,200,145.83
16418,460,318.08
9161,2000,250.08
2345,150,322.5
2204,5000,88.58
12233,150,83.83
21108,9916,71.67
23875,440,6
9828,5890,183.67
23318,900,15.17
222,150,0
580,150,369.92
17524,3860,0.5
22688,140,91.42
15794,1560,198.17
5473,1000,229.25
19770,3413,206.42
8021,650,0
8641,3055,6.67
7267,150,252.75
13408,240,21.67
16272,750,0.75
3500,150,231.17
10225,3798,364.33
24976,460,77.5
9033,1000,36.92
12656,9156,135
336,150,112.33
18979,140,209.42
21715,4860,380.33
3125,15000,520.83
11834,150,93.67
24265,900,231
25463,2615,221.25
20798,1700,260.33
2660,150,201.5
16614,200,16.67
25330,1450,134.25
4534,150,493.08
6029,1000,0
18357,640,96.25
13809,360,270.67
8568,1875,261.42
6539,150,312.83
22537,1719,82
24434,1440,0
1533,150,381.33
20139,2315,183.75
21101,2278,302.08
11625,1590,105.92
22672,4640,10.25
9858,1000,0
6920,350,263.83
13952,100,80
24944,3193,255
25682,860,198.42
10626,320,194.92
3018,250,106.33
25588,1790,3.67
34,7000,1564.92
19868,150,0
13919,5000,378.25
3586,2035,483
8474,1000,12.58
22776,975,39.42
11540,450,172.33
11225,7150,1173.83
836,6306,1169.83
18006,400,168.92
19946,2060,186.08
11284,150,68.58
16693,280,15.67
10568,500,302.83
16458,240,123.5
18831,150,172.42
25559,460,147.83
26224,620,0
9360,280,348.75
19495,5000,828
19289,6000,0
6081,1000,112.75
26204,3566,6.17
14089,180,130.25
25535,3890,194.58
15966,3113,124.92
13419,280,50.08
21143,3568,318.33
11650,450,104.33
8615,450,114
15736,300,107.33
8039,4945,474.08
1044,150,368.33
7453,150,20
14648,9440,236.08
772,150,496.25
25719,2220,28.58
4721,1000,1.58
20598,5340,1021.75
21911,180,290.75
14389,320,151.5
17166,3633,79.33
248,150,249.67
11138,1000,30.92
6506,1000,497.58
7734,460,155.5
21390,8226,427.67
16464,32000,1425.17
23226,460,0
11234,150,209.25
16716,340,72.33
24414,320,0.25
6675,1800,176.25
22859,34750,27.17
14625,600,80.33
21272,4526,163.17
19556,1040,249.83
3654,1000,19.33
18308,520,0
737,150,0
16933,200,145.25
6440,2000,56
25544,4040,251.08
6631,3526,331.25
5410,150,235.25
15626,620,88.92
2692,860,283.17
23238,160,22.33
3806,3000,481.67
25110,2440,515.42
12522,150,147.17
18989,840,49.67
1544,150,102.25
7185,1000,2.67
22075,440,0
24093,13835,266.5
16565,380,121.58
14341,2360,167.58
11257,150,146.5
15031,500,200.67
14575,640,169.58
22806,4458,77.92
2585,3000,407
2794,390,298
1397,1000,135.42
17485,1400,47.67
12814,4800,196.25
1400,1000,102.58
19163,4686,240.5
2100,150,210.5
17357,340,21.5
18352,3580,218.33
15157,156.009,21485.33
22150,7371,80.92
22681,3845,337.25
1743,150,141.17
4493,9000,378.42
26017,3400,41.83
7752,460,0
4497,1200,642.83
5593,250,126.67
17255,4000,359.92
9595,450,189.17
9340,2610,126.25
18302,2540,39
15836,6533,209.5
3539,150,288.33
24956,800,80.92
1083,5000,947.5
11353,150,392.42
12426,150,332.83
5348,150,286
21650,200,143.08
15254,460,0.08
22685,1350,20.75
22987,5700,728
7732,460,0
17707,2560,657.92
16132,340,0.5
10621,580,393.33
9766,11360,352.5
11960,450,168.83
20336,300,214.83
24958,9870,125.58
4282,6000,148.42
7718,360,22.67
19978,500,240.33
13543,240,120.92
18562,8090,42.5
5863,14684,602.08
22333,940,214.25
19885,4000,676.42
12596,150,524.83
24794,1775,64.83
4249,600,166.42
16518,3680,1128.58
24186,850,92.75
12402,150,244.92
26178,1290,7.5
1888,150,252
4020,300,435.5
21047,5530,672.67
25285,3505,167.67
2747,1000,597.42
25941,1660,8.58
23936,7896,75.92
21772,6450,238.42
4170,600,99.5
16467,320,126.5
20946,140,240.92
19385,100,60.25
6718,450,98.92
2775,6986,277.33
5684,860,83
23823,440,150.25
8795,600,290.92
12851,200,138.75
2160,150,146.75
42,2000,1
4889,3773,222.5
17690,2480,222
13313,200,38
19954,885,225.92
20911,1615,202
12034,600,346.33
17041,2073,214.33
8122,490,313.83
15162,600,295.83
15024,320,156.25
8013,650,438.25
8736,480,449.33
26312,3986,4.08
16924,890,48
17308,2740,149.58
13730,180,198.67
9620,3000,207.08
18907,140,3.17
9942,9222,204.08
24912,3650,383.25
9069,2000,317.67
11326,150,240.92
17137,600,145.92
206,7666,482.58
5210,3930,642.08
24575,700,59.25
2226,150,282
9865,150,285.67
2980,3745,230.17
23072,680,14.83
16541,890,135.83
21724,2293,229.92
10354,4000,115.08
4123,600,96.67
905,150,282
6268,3000,939.33
22620,480,158
1462,150,521.17
176,1000,123.5
1406,11280,335.5
21341,3573,250.33
20790,420,223.5
15251,1100,208.25
24540,3975,271.08
8619,450,64.58
15959,220,54.58
24049,1420,41.5
22294,100,145.75
16573,560,159.17
4368,1000,29.5
21060,460,201.75
5168,150,127.58
23761,640,0.08
14695,640,144.5
2551,150,84
22124,775,192.83
10590,150,16.58
7050,650,241.92
22293,100,206.5
14055,5000,219.25
12196,1000,227.25
4543,175,9598.92
5981,8541,183.75
1178,150,648.58
15322,340,88.33
14484,5000,248.42
2446,150,213.75
4938,450,111.75
524,150,34.83
20101,4935,82.75
25137,4073,117.33
23647,500,107.25
8238,150,256.42
21103,2620,688.33
5721,860,395.75
20745,620,313.75
22517,8536,466.17
19304,1000,0
19271,150,247.67
8504,4000,126.67
321,150,967.92
13820,200,276
14517,8735,243.83
9358,140,6
20329,300,161
4347,1000,0
20451,860,184.92
26195,1540,5.33
17422,2320,221.75
20758,4600,129.58
25129,9050,174.58
18228,2523,155
20031,300,202.25
7320,1000,0.17
15172,520,215.08
7974,650,2.42
19370,1700,0
11306,1000,251.92
12267,150,86.17
22163,3780,156.75
23649,400,124
17554,4900,21.75
8547,650,301
18885,1880,16.5
15852,220,123.42
22242,100,178.83
16773,240,103.25
22940,1640,27.25
8802,4500,204.83
22318,3340,65.17
15831,240,220.58
26231,1886,2.17
22365,480,32.67
25424,760,35.5
15248,9020,342.08
6293,3000,184.83
10901,4000,152.17
6538,150,170.83
19404,150,154.42
4900,600,181.75
22722,300,146.08
22177,200,7.83
2041,150,113.75
13742,150,188.25
24277,9630,136.33
4029,1000,10.42
17060,5000,475.75
1160,4000,812.5
5463,900,198
17683,350,288.17
6131,150,120.25
19993,480,176.25
8084,750,109.83
25270,4540,548.92
2967,3325,182.58
6287,150,257.33
14290,1060,26.33
20845,420,220.25
14836,2760,0
18429,4550,680.83
8536,600,82.75
8529,950,118.33
20926,460,76.58
5119,4000,191.5
7721,365,99.25
2884,600,118.08
12335,150,167.33
19713,150,72.42
24221,7590,756.25
9477,480,513.83
23642,7240,1716.42
20109,300,228.08
18275,820,123.17
17091,2190,31.58
26205,9660,3.33
17087,1120,110.33
10656,180,236
18413,1700,11.67
17029,1580,472.58
17403,600,210.75
7071,650,319
8157,600,246
18558,3000,346.75
13256,5200,404.67
15252,440,18.67
8621,900,80.33
15045,1000,33.42
2161,150,105.5
15501,1940,82.17
14793,140,257.25
16766,150,131.67
11566,5000,746.75
291,150,90.17
11870,1000,5.58
3547,150,222.92
15706,180,317.83
12419,150,204.5
21363,1000,144.33
6837,450,379.25
22569,200,0.42
873,4000,516
6676,350,216.67
10715,260,229.92
10357,3000,793.25
2743,150,417.92
6326,1520,0
530,150,17.83
26284,4350,31.42
7955,650,99.83
25927,1826,14.83
18626,600,133.5
23756,1320,76.83
24528,700,126.08
26243,1040,13.42
8555,17546,14.42
18501,3575,604
23313,480,194.25
12555,150,149.5
9414,3220,320.58
25102,1780,245.17
16479,2893,238.5
19998,180,220
3336,150,234.92
11556,3930,225.42
14266,100,173.17
8346,150,0
16899,150,316.42
25469,4430,146.33
24839,1893,275.92
13453,200,135
8989,360,408
15770,780,111.25
3525,150,340.25
13874,150,164.67
17374,150,225.58
10107,1080,110.83
26130,2965,93.83
13171,150,92.42
26307,4661,7.75
14465,250,37.75
23925,3355,14.92
25958,5664,109
1037,150,339.08
12226,150,221.67
22106,3775,189.92
15675,320,0
21928,340,9.33
22941,3280,271.83
19176,1000,249.75
14232,200,61.5
9025,650,205.33
14226,5640,217.25
67,22980,2956.08
4178,6000,1779
26213,3105,1.83
14174,180,164.92
8769,740,9.75
26330,600,0
6192,4000,25
19215,280,188.42
9825,3640,449.42
26229,1350,6.83
5302,150,8
9989,380,241.17
5327,150,171.75
1201,150,303.25
8047,900,307.5
14391,680,0
5080,600,117.5
5195,150,307.83
9210,340,54.25
7431,1000,10.67
25384,3775,339.5
1047,3000,91.5
6301,150,61.42
6305,3326,113.17
26007,3300,147.25
22247,5310,0
19927,840,242
2116,150,141
3558,150,331.42
14442,4480,399.42
5391,150,112.08
12277,16000,344.92
6328,150,50.33
21620,200,95.08
23445,450,88.33
13786,100,123
10479,240,199.25
13371,5980,0
19934,1960,79.08
18532,6333,187
14668,2238,123
21792,2000,112
23574,2517,23.5
14616,240,197.92
24462,1100,231.75
18393,6706,108.5
24879,5100,95.75
9835,1000,218.67
14992,5140,211.67
24457,8800,302.08
18100,790,451.67
20396,280,183.67
22619,780,267.42
24886,4210,99.83
8972,600,0
5619,280,66.58
18074,280,52.33
25621,4573,454.33
21567,820,170.83
18774,2720,221
6471,150,11
12473,150,142.92
19121,1866,189.67
16949,1000,95.67
8915,150,98.75
25761,1915,97.5
26281,4413,21.17
24250,1540,29.58
16730,240,207
12145,4650,269.75
13739,150,102.08
3086,6000,231.83
24768,3518,439.92
12748,150,423.42
23463,366,4.67
15585,150,190.5
9709,240,178
16862,1000,0
22774,280,90.67
15197,1980,356.08
12660,12000,203.08
15040,2675,58.67
5331,150,219.33
11694,450,87.25
17443,150,0
20809,2480,133.08
13999,2000,154.17
14809,340,169.5
12537,2000,59.5
7822,2000,36.92
16813,560,92.58
8045,2500,230.08
11086,4000,176.42
19553,1020,112.42
21970,400,197.25
6261,1000,45.5
22223,600,186.83
17601,150,227
3848,1000,560.25
24386,660,179.58
11897,450,287.08
22577,1033,203.5
18978,5000,0
24417,1735,241.58
13789,1430,142.67
6364,150,0
22430,140,92.08
4285,900,116.42
24835,1030,211.67
12772,150,334.92
14470,900,240.92
21708,2353,326.08
19249,740,92
23772,4525,9.92
1391,1000,90.92
18964,140,193.08
1519,150,207.92
21969,3333,30.75
18069,150,105.5
20163,300,158.33
11807,600,213.08
10076,380,46.5
9614,140,138.25
20633,300,0
3713,150,468.83
25167,4446,196.17
20055,300,100.5
15431,180,121.42
25201,1350,121.5
8943,140,124.83
7247,150,65.5
14041,4000,0
1085,3000,731.67
3841,150,358.75
26133,900,90.75
23272,2205,35.25
6355,150,1.08
22209,760,52.17
9937,910,174.67
3058,1000,113.58
13329,7325,380.67
2858,500,21.83
14592,200,5.58
23289,11250,2243.67
6126,150,159.17
9910,5000,134.5
4461,900,298.83
13353,1370,372.75
26258,5000,0
13160,513,228.67
25004,240,79.17
15094,4000,120.58
16599,5970,156.83
4855,7150,176.33
10215,406,385.42
24005,4523,192.58
2901,460,14.75
11398,150,238.08
25563,260,4.58
2425,150,3.83
15747,600,21.33
74,5000,346.83
12443,1690,240.92
25250,9461,266.5
7125,290,319.58
11606,450,269.42
1005,150,280
4744,150,195.17
11090,350,75.42
21894,3035,27.25
24139,1346,256.5
9779,4100,0
12103,1000,0
357,150,0
5770,2000,0
1627,1000,93.5
2285,1000,179
11253,150,157.75
7803,450,129.58
22673,160,1.25
21845,960,149.92
9840,780,39.42
18337,630,1.08
19879,5000,322.58
7994,650,504.67
12942,150,7
17699,9376,252
21391,680,14.75
6347,150,40.75
20325,150,101.75
16971,8786,77
17383,480,151
12621,980,199.42
5241,150,217.83
4496,900,190.58
11699,1000,0
14346,350,162
6585,150,123.58
3981,6851,628.33
13051,140,176.25
23993,400,145.83
10099,3490,406.5
12043,1260,315.5
1161,4000,361.33
21816,1913,175.5
14323,380,204.5
18703,1800,108.67
1238,150,132.25
17450,150,346.92
14689,6095,141.75
4336,600,96.33
11186,4062,121.75
10805,180,507.25
7934,4320,288.67
8003,450,220.25
3420,1000,78.92
15298,2660,213.92
20184,300,159.92
25089,4650,189.25
20030,300,37.83
12915,1000,16.33
17330,6046,142.33
10282,640,101.75
9797,380,173.08
12996,150,109.08
10384,8350,323.83
11723,450,121.33
4654,150,228.67
11059,250,80.83
21365,7455,0
23161,11250,1479.42
22612,1592,9.17
10116,340,103.83
24840,1100,51.75
2269,150,105.75
22541,1940,23.75
18537,9745,158.25
14681,1750,176.58
13699,440,175.83
18277,600,109.92
17805,19920,252.33
13722,9050,0
5998,1580,86
12527,5000,287.17
4974,250,153.33
21826,2984,19
7426,1000,20
25394,1350,15.42
8088,500,98.67
12349,450,230.67
8912,6910,222.33
12420,150,382.83
18728,320,69.5
23995,1350,0
11663,1000,132.58
18181,150,0
3960,3000,0
24348,780,214.5
23881,1030,242.92
19799,320,316.58
16946,1506,291.42
9971,1450,139.83
22925,1460,191.75
16902,1400,146.42
9333,560,384.58
9207,4813,344.58
6813,4500,180.67
6603,3646,331.5
9268,180,244.42
14287,200,103
25628,480,107
21219,4790,201.67
24731,780,176.25
16674,9000,168.58
23515,780,23.08
18522,200,75.08
23570,6596,116.58
18359,900,20.92
6552,150,511.92
23992,1400,37.33
6972,150,87.92
18396,29420,0
16732,2200,7.08
6122,150,305.67
16256,280,45
13386,340,173.42
25950,330,37.17
1438,150,270.92
20048,3765,129.42
8520,2333,82.25
26036,2012,20.33
2818,2000,0
22486,480,215.58
11027,650,178.33
20840,400,19.75
17756,1340,212
6553,150,96
26085,1850,19.92
18514,1670,171.25
19895,340,186.58
9042,340,160.25
3635,150,195.08
9017,12000,597.75
6427,150,294
13936,280,258.25
826,1600,77.42
25194,1260,73
20716,420,118.25
26061,3460,4.58
8948,140,80.08
25722,440,71.5
11146,1000,28.75
4934,5520,130.67
6621,4950,0
13265,5800,346.58
18221,1200,49.08
21054,1000,99
13715,1540,88.92
11592,450,120.92
13511,3860,219.58
21973,1973,209.33
1176,1000,6.83
12578,150,104.17
13426,4090,769.25
15500,500,213.5
10505,4000,249.5
11246,150,495.83
11484,150,135.17
24724,2970,81.17
279,5000,464.67
11055,42000,7786.67
6318,150,115.33
11474,150,187.5
16525,3280,111.17
9900,250,99
4664,150,194.83
10513,320,118.92
5793,300,1.17
15227,2210,81.5
15407,880,130.25
16863,2490,194.08
23841,4546,299.67
2187,2953,475.67
7073,652,273.33
7927,450,35.25
3204,150,319.33
5269,150,126
4877,600,282.67
8033,650,87
24106,6970,387.33
12441,1000,36
18200,1220,0
25274,4770,363.33
9108,320,137.58
5540,300,150.58
25294,2678,145.92
151,150,490.92
11866,2858,624.83
19972,7650,1655
20116,2895,345.83
5979,4000,176.5
24310,425,0.33
2176,150,204
16775,340,257.5
24393,9273,448.42
26005,3380,117.17
23457,7153,253.67
23698,440,200.58
15375,460,63.08
5907,600,499.67
9183,570,451
8196,1000,127
18607,500,216.33
16005,150,215.58
11585,450,134.17
24175,700,63.25
1332,150,314.42
8148,750,0
23631,400,16
9373,1560,189.5
22621,9586,322.58
17416,240,215.5
4325,900,212.17
1542,150,159.67
4656,150,14.08
23097,1160,5.5
23104,1640,63.17
24858,7376,219.25
16579,140,176.25
20009,1140,185.92
3225,1100,58
10793,1390,123.5
22701,680,0
15068,480,3.33
7002,390,202.67
15347,5000,513.08
8549,650,202.17
9700,2080,192.92
14970,680,77
846,7175,1306.67
21573,200,157.08
20217,300,116.33
26149,7490,66.67
15142,200,0.33
24542,900,219.58
9117,380,184.5
14869,600,577.83
15385,380,182.5
394,9310,163.67
11150,4940,484.75
17711,786,166.5
6367,2958,226.33
3738,1000,154.83
9782,900,68.08
2275,150,120.5
17245,7368,203.83
23838,6746,761.17
19531,3406,167.83
2155,2075,51.17
22346,4490,0
19736,2240,254.5
6877,3600,285.08
21861,160,0
23927,8773,361
15967,380,224.17
9325,440,0
21653,1980,201.25
16567,4795,386.92
7129,320,494.08
284,150,318.33
21568,953,2.08
14630,1460,270.08
8822,1000,76.75
12623,7000,251.92
3764,7440,463.25
19027,150,165.67
18329,3133,490.25
5841,1000,44
19343,11000,648.92
10049,600,148.75
8624,4500,429
24521,1935,73.42
16840,1590,242.17
8017,650,158.42
20193,300,409
5568,8865,189.33
17454,230,338.17
25731,3380,58.33
542,150,23.75
20007,480,28.92
23480,720,165
19935,7625,356.67
9324,2020,338.5
17878,1760,97.75
13253,4000,297.83
6799,8296,307.17
8796,900,212.83
23424,740,0
13188,460,91.58
1671,150,216.67
15563,1100,44.33
18604,2713,418.33
15061,360,149
4973,600,101.5
11948,250,237.17
1988,150,102.17
23156,15000,2463.33
20968,1620,62.25
1733,150,177.5
8516,150,267.58
2325,65145,3267.08
8702,650,139.17
22299,280,0
9846,799,2.17
17442,150,147.08
23021,650,0
390,150,351.42
21776,730,0.08
2485,9925,347.25
19757,200,137.17
13906,100,315.92
1823,150,136.75
18078,7470,145.83
13320,600,179.83
22369,3886,126.17
4610,4900,440.17
811,11000,1063
14863,400,103.75
15535,1813,178.83
17035,1000,145.75
8434,4535,186.75
24998,16180,562.92
9754,240,49.83
24650,9256,129.17
18398,720,199.5
13761,1046,0
25558,4450,224.25
24110,2205,93.83
757,11470,13.58
13067,9216,159
